Camera Parameters
Camera Model,daA3840-45uc
FPS (Target),15
FPS (ACTUAL),15.0053
Auto Exposure Mode,Off
Exposure Time,20000
Resolution,1920x1080

Frame,PC Timestamp,Camera Time
0,2024-05-08 10:38:34.926998,3.172566
1,2024-05-08 10:38:34.993735,3.239330
2,2024-05-08 10:38:35.060216,3.305760
3,2024-05-08 10:38:35.127280,3.372809
4,2024-05-08 10:38:35.194024,3.439278
5,2024-05-08 10:38:35.260332,3.505814
6,2024-05-08 10:38:35.326955,3.572477
7,2024-05-08 10:38:35.393561,3.639013
8,2024-05-08 10:38:35.460256,3.705763
9,2024-05-08 10:38:35.527324,3.772815
10,2024-05-08 10:38:35.593515,3.838933
11,2024-05-08 10:38:35.660303,3.905813
12,2024-05-08 10:38:35.726725,3.972237
13,2024-05-08 10:38:35.793536,4.038933
14,2024-05-08 10:38:35.860065,4.105557
15,2024-05-08 10:38:35.927086,4.172560
16,2024-05-08 10:38:35.993387,4.238866
17,2024-05-08 10:38:36.060329,4.305819
18,2024-05-08 10:38:36.126709,4.372233
19,2024-05-08 10:38:36.193385,4.438861
20,2024-05-08 10:38:36.260074,4.505585
21,2024-05-08 10:38:36.326925,4.572465
22,2024-05-08 10:38:36.393327,4.638834
23,2024-05-08 10:38:36.460278,4.705808
24,2024-05-08 10:38:36.526568,4.772142
25,2024-05-08 10:38:36.593280,4.838815
26,2024-05-08 10:38:36.659930,4.905480
27,2024-05-08 10:38:36.726872,4.972420
28,2024-05-08 10:38:36.793234,5.038736
29,2024-05-08 10:38:36.860334,5.105817
30,2024-05-08 10:38:36.926542,5.172088
31,2024-05-08 10:38:36.993304,5.238814
32,2024-05-08 10:38:37.059950,5.305478
33,2024-05-08 10:38:37.126593,5.372116
34,2024-05-08 10:38:37.193141,5.438688
35,2024-05-08 10:38:37.260302,5.505811
36,2024-05-08 10:38:37.326530,5.572070
37,2024-05-08 10:38:37.393305,5.638813
38,2024-05-08 10:38:37.459931,5.705476
39,2024-05-08 10:38:37.526594,5.772056
40,2024-05-08 10:38:37.593053,5.838613
41,2024-05-08 10:38:37.660311,5.905810
42,2024-05-08 10:38:37.726550,5.972010
43,2024-05-08 10:38:37.793323,6.038814
44,2024-05-08 10:38:37.859711,6.105283
45,2024-05-08 10:38:37.926567,6.172085
46,2024-05-08 10:38:37.993259,6.238744
47,2024-05-08 10:38:38.060044,6.305593
48,2024-05-08 10:38:38.127139,6.372683
49,2024-05-08 10:38:38.193321,6.438820
50,2024-05-08 10:38:38.259719,6.505274
51,2024-05-08 10:38:38.326397,6.571906
52,2024-05-08 10:38:38.393102,6.638622
53,2024-05-08 10:38:38.460099,6.705617
54,2024-05-08 10:38:38.526393,6.771902
55,2024-05-08 10:38:38.593317,6.838817
56,2024-05-08 10:38:38.659631,6.905200
57,2024-05-08 10:38:38.726319,6.971823
58,2024-05-08 10:38:38.793027,7.038547
59,2024-05-08 10:38:38.860027,7.105550
60,2024-05-08 10:38:38.926363,7.171864
61,2024-05-08 10:38:38.993340,7.238816
62,2024-05-08 10:38:39.059643,7.305183
63,2024-05-08 10:38:39.126353,7.371842
64,2024-05-08 10:38:39.192971,7.438480
65,2024-05-08 10:38:39.260019,7.505526
66,2024-05-08 10:38:39.326360,7.571850
67,2024-05-08 10:38:39.393341,7.638815
68,2024-05-08 10:38:39.459631,7.705177
69,2024-05-08 10:38:39.526311,7.771809
70,2024-05-08 10:38:39.592956,7.838475
71,2024-05-08 10:38:39.659952,7.905482
72,2024-05-08 10:38:39.726269,7.971737
73,2024-05-08 10:38:39.793350,8.038810
74,2024-05-08 10:38:39.859576,8.105095
75,2024-05-08 10:38:39.926375,8.171818
76,2024-05-08 10:38:39.992931,8.238477
77,2024-05-08 10:38:40.059529,8.305001
78,2024-05-08 10:38:40.126279,8.371740
79,2024-05-08 10:38:40.193306,8.438792
80,2024-05-08 10:38:40.259530,8.505020
81,2024-05-08 10:38:40.326335,8.571817
82,2024-05-08 10:38:40.392925,8.638449
83,2024-05-08 10:38:40.459626,8.705138
84,2024-05-08 10:38:40.526321,8.771682
85,2024-05-08 10:38:40.593335,8.838811
86,2024-05-08 10:38:40.659595,8.905107
87,2024-05-08 10:38:40.726342,8.971811
88,2024-05-08 10:38:40.792963,9.038471
89,2024-05-08 10:38:40.859535,9.105012
90,2024-05-08 10:38:40.926005,9.171554
91,2024-05-08 10:38:40.993131,9.238640
92,2024-05-08 10:38:41.059450,9.304947
93,2024-05-08 10:38:41.126375,9.371817
94,2024-05-08 10:38:41.192810,9.438318
95,2024-05-08 10:38:41.259664,9.505122
